Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2015-16,2016-17,2017-18,2018-19,2019-20,Source document,Source table
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Programme 2.2: Plant and Animal Health,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payment to CSIRO - Contribution to the operating costs of the Australian Animal Health Laboratory,7928,8047,8184,8315,8457,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Programme 2.2: Plant and Animal Health,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Plant Biosecurity & Response Reform,1385,1385,1385,1385,1384,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Programme 2.2: Plant and Animal Health,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Stronger Farmers, Stronger Economy - strengthening research, skills and management of natural resources - Emergency Response Exotic Pest and Disease Incursions - Immediate Assistance Fund",1500,1500,1540,3520,3520,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Programme 2.2: Plant and Animal Health,Administered expenses,Special appropriations,"Australian Animal Health Council (Live-stock Industries) Funding Act 1996, s. 5",7876,6401,6421,6623,6764,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Programme 2.2: Plant and Animal Health,Administered expenses,Special appropriations,"Plant Health Australia (Plant Industries) Funding Act 2002, s. 6 ",1821,2026,1999,1999,1999,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Programme 2.2: Plant and Animal Health,Administered expenses,Special appropriations,"Plant Health Australia (Plant Industries) Funding Act 2002, s. 10B",1738,2448,2434,2434,2434,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Managing Biosecurity and Imported Food Risk (non-programme expenses),Administered expenses,Expenses not requiring appropriation in the budget year,"National Residue Survey Account - s. 80, PGPA Act 2013 [s. 6, National Residue Survey Administration Act 1992]",10758,9243,9123,9359,9530,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Managing Biosecurity and Imported Food Risk (non-programme expenses),Departmental expenses,Departmental appropriation,,192812,217679,219460,213277,186126,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Managing Biosecurity and Imported Food Risk (non-programme expenses),Departmental expenses,Special account,"Australian Quarantine and Inspection Service Special Account - s. 78, PGPA Act 20134",365344,381033,386512,380094,373654,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Managing Biosecurity and Imported Food Risk (non-programme expenses),Departmental expenses,Special account,"National Residue Survey Account - s. 80, PGPA Act 2013 [s. 6(1), National Residue Survey Administration Act 1992]",10390,10252,10214,10137,10137,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 2: Safeguard Australia's animal and plant health status to maintain overseas markets and protect the economy and environment from the impact of exotic pests and diseases, through risk assessment, inspection and certification, and the implementation of emergency response arrangements for Australian agricultural, food and fibre industries.",Managing Biosecurity and Imported Food Risk (non-programme expenses),Departmental expenses,Expenses not requiring appropriation in the budget year,,10307,12516,12516,12516,12516,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Commonwealth Contribution under the Murray-Darling Basin,7492,14100,0,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Murray-Darling Basin Authority,0,84746,37375,35473,24618,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Urban Water and Desalination Plan,6659,0,0,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),"Stronger Farmers, Stronger Economy - National Water Infrastructure Development Fund",4000,7000,4000,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Sustainable Rural Water Use and Infrastructure,122817,298247,217437,208339,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Other services (Appropriation Bill No. 2),National Urban Water and Desalination Plan,5500,2100,0,0,0,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Special appropriations,Water Act 2007,38175,110000,430000,320000,350000,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Special appropriations,Transfer to special account,-38175,-110000,-430000,-320000,-350000,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Special accounts,WELS Account - s.80 PGPA Act 2013 [s.64(1) Water Efficiency Labelling and Standards Act 2005],1571,1981,1981,1981,1981,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Special accounts,Water for the Environment Special Account - s.80 PGPA Act 2013 [s.86AB Water Act 2007],38175,110000,430000,320000,350000,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Expenses not requiring appropriation in the budget year,,137334,415938,556067,331925,257759,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Administered expenses,Expenses not requiring appropriation in the budget year,National Water Infrastructure Loan Facility,0,307,307,1230,3074,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Agriculture Portfolio and Water Resources,Department of Agriculture and Water Resources,"Outcome 3: Improve the health of rivers and freshwater ecosystems and water use efficiency through implementing water reforms, and ensuring enhanced sustainability, efficiency and productivity in the management and use of water resources.",Programme 3.1: Water Reform,Departmental expenses,Departmental appropriation,,19270,29382,20196,18047,13277,Department of Agriculture and Water Resources 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Administrative Appeals Tribunal,Outcome 1,Program 1.1: Administrative Appeals Tribunal,Administered expenses,Special appropriations,,9000,9000,9000,9000,9000,Administrative Appeals Tribunal 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Administrative Appeals Tribunal,Outcome 1,Program 1.1: Administrative Appeals Tribunal,Departmental expenses,Departmental appropriation,,138308,143535,140918,141459,136205,Administrative Appeals Tribunal 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Administrative Appeals Tribunal,Outcome 1,Program 1.1: Administrative Appeals Tribunal,Departmental expenses,s 74 retained revenue receipts,,1177,1177,1177,1177,300,Administrative Appeals Tribunal 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Administrative Appeals Tribunal,Outcome 1,Program 1.1: Administrative Appeals Tribunal,Departmental expenses,Expenses not requiring appropriation in the budget year,,5671,6290,6290,6540,5330,Administrative Appeals Tribunal 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,"Australian Film, Television and Radio School",Outcome 1,"Program 1.1: Delivery of specialist education to meet the diverse creative needs of students and the skill requirements of industry by means of Award courses, activities and events and through its Open Program",[not published],Ordinary annual services  (Appropriation Bill No. 1),,23697,22985,23147,23349,23558,"Australian Film, Television and Radio School 2016-17 PBS",Table 1.1
Attorney-General's Portfolio,"Australian Film, Television and Radio School",Outcome 1,"Program 1.1: Delivery of specialist education to meet the diverse creative needs of students and the skill requirements of industry by means of Award courses, activities and events and through its Open Program",[not published],Revenues from other independent sources ,,5787,8035,9412,10339,10495,"Australian Film, Television and Radio School 2016-17 PBS",Table 1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.1: Attorney-General's Department Operating Expenses- Civil Justice and Legal Services,Departmental expenses,Departmental appropriation,,69792,61540,60837,57954,58231,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.1: Attorney-General's Department Operating Expenses- Civil Justice and Legal Services,Departmental expenses,s 74 retained revenue receipts,,22248,3490,3368,3207,3174,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.1: Attorney-General's Department Operating Expenses- Civil Justice and Legal Services,Departmental expenses,Expenses not requiring appropriation in the budget year,,14380,10667,9961,10212,10883,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.2: Attorney-General's Department Operating Expenses-National Security and Criminal Justice,Departmental expenses,Departmental appropriation,,114289,130511,129961,130938,132329,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.2: Attorney-General's Department Operating Expenses-National Security and Criminal Justice,Departmental expenses,s 74 retained revenue receipts,,39196,30089,32093,30088,30501,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.2: Attorney-General's Department Operating Expenses-National Security and Criminal Justice,Departmental expenses,Expenses not requiring appropriation in the budget year,,11785,8519,7291,7403,7952,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.3: Australian Government Solicitor,Departmental expenses,Australian Government Solicitor Operational Special Account,,138450,139269,142054,144490,146982,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Community Legal Services Program,9254,7906,7704,2627,2661,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Courts and tribunals reform,0,0,0,150,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Expensive Commonwealth Criminal Cases Fund,3794,4610,3682,3733,3784,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Family Court of Western Australia,13426,13606,13780,13959,14139,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Financial assistance towards legal costs and related expenses,3134,3280,3323,3367,3411,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Financial assistance towards legal costs and related expenses - expenses for witnesses to the Royal Commission into Institutional Responses to Child Sexual Abuse,6960,5940,660,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Financial assistance towards legal costs and related expenses - expenses for witnesses to the Royal Commission into Trade Union Governance and Corruption,1787,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Native Title Respondents Scheme,1597,1625,1653,1681,1703,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for grants to Australian organisations,882,983,1011,980,993,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for membership of international bodies,650,444,354,365,376,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for services under the Family Law Act 1975 and the Child Support Scheme legislation,1694,1734,1763,1790,1813,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for the provision of community legal services-legal advice service supporting the Royal Commission into Institutional Responses to Child Sexual Abuse,5000,5000,5000,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments to Law Courts Limited for contributions to operating and capital expenses,3421,3454,3499,3545,3590,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Special appropriations,Law Officers Act 1964,450,450,450,450,450,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.4: Justice Services,Administered expenses,Special appropriations,"Public Governance, Performance and Accountability Act 2013 s 77",117,117,117,117,117,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.5: Family Relationships,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Family Relationships Services Program ,162627,162128,164356,166566,168732,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.6: Indigenous Legal and Native Title Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Indigenous Legal Assistance Program,72387,73585,69099,68992,69890,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.6: Indigenous Legal and Native Title Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Native title system,591,302,310,319,323,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.6: Indigenous Legal and Native Title Assistance,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Asia-Pacific Rule of Law Aid,941,1360,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),ASNet Support to National Security Committee ministers,898,1725,1751,1777,1801,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Australia - New Zealand Counter-Terrorism Committee-special fund and operating expenses,11463,11703,11584,11894,12096,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Australia's contribution to the International Criminal Court,8706,7741,8059,8203,8318,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Counter-terrorism exercises,1071,1067,1081,1095,1109,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Countering Violent Extremism to Prevent Terrorism,6015,9956,6087,6141,6141,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Data retention industry capital assistance,63488,51602,13120,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Disaster Resilience Australia-Emergency Warning System Database,1716,1741,1765,1786,1809,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Disaster Resilience Australia Package,2080,2110,2138,2165,2194,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National aerial firefighting,15304,14804,14804,14938,15132,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National Facial Biometric Matching Capability,0,6005,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),National security public information campaign,9550,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for grants to Australian organisations ,1580,1625,1649,1674,1700,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Payments for membership of international bodies ,106,109,111,114,116,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Other services (Appropriation Bill No.˜2),Specific purpose payment-Schools Security Program,4746,7248,3214,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Special appropriations,Social Security (Administration) Act 1999-Australian Victim of Terrorism Overseas Payment-s 242,2160,500,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Special accounts,Services for Other Entities and Trust Moneys ,53907,27655,10250,1039,1039,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.7: National Security and Criminal Justice,Administered expenses,Expenses not requiring appropriation in the budget year,,1011,1739,2280,1374,1286,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.8: Australian Government Disaster Financial Support Payments,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Ex gratia assistance-New Zealand citizens ,46,117,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.8: Australian Government Disaster Financial Support Payments,Administered expenses,Special appropriations,Social Security (Administration) Act˜1999-Disaster Recovery Allowance,1825,60,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.8: Australian Government Disaster Financial Support Payments,Administered expenses,Special appropriations,Social Security (Administration) Act˜1999-Disaster Recovery Payment,24559,60,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.8: Australian Government Disaster Financial Support Payments,Administered expenses,Expenses not requiring appropriation in the budget year,,145,73,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.9: Royal Commissions,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Royal Commission into Institutional Responses to Child Sexual Abuse,75731,73787,26118,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.9: Royal Commissions,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),Royal Commission into Trade Union Governance and Corruption,15040,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 1,Program 1.9: Royal Commissions,Administered expenses,Expenses not requiring appropriation in the budget year,,10302,5531,3377,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Attorney General's Department,Outcome 2,Program 2.1: Arts and Cultural Development,Administered expenses,Payments to corporate entities,,265673,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Attorney General's Department,Outcome 2,Program 2.1: Arts and Cultural Development,Administered expenses,Expenses not requiring appropriation in the budget year,,496,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Attorney General's Department,Outcome 2,Program 2.1: Arts and Cultural Development,Departmental expenses,Departmental appropriation,,9207,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Attorney General's Department,Outcome 2,Program 2.1: Arts and Cultural Development,Departmental expenses,s 74 retained revenue receipts,,956,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Attorney General's Department,Outcome 2,Program 2.1: Arts and Cultural Development,Departmental expenses,Special accounts,Art Rental Special Account-PGPA Act s 78 Determination 2006/18,1366,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Attorney General's Department,Outcome 2,Program 2.1: Arts and Cultural Development,Departmental expenses,Special accounts,"Indigenous Repatriation Special Account-PGPA Act s 78 
Determination˜2005/45",254,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Attorney General's Department,Outcome 2,Program 2.1: Arts and Cultural Development,Departmental expenses,Expenses not requiring appropriation in the budget year,,23,0,0,0,0,Attorney General's Department 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Australian National Maritime Museum,"Outcome 1: Increased knowledge, appreciation and enjoyment of  Australia's maritime heritage by managing the National Maritime Collection and staging programs, exhibitions and events",Program 1.1: Management of maritime heritage,[not published],Ordinary annual services  (Appropriation Bill No. 1),,21878,21075,21111,21151,21192,Australian National Maritime Museum 2016-17 PBS,Table 2.1.2
