Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2012-13,2013-14,2014-15,2015-16,2016-17,Source document,Source table,URL
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.",Program 1.3: Nation Building Funds and DisabilityCare Australia Fund,Administered expenses,Special accounts,Building Australia Fund Special Account,106216,95910.07628,118991.5239,104059.9479,115869.1134,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.",Program 1.3: Nation Building Funds and DisabilityCare Australia Fund,Administered expenses,Special accounts,Education Investment Fund Special Account,178773,185788.383,185660.9557,167842.7729,117861.5435,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.",Program 1.3: Nation Building Funds and DisabilityCare Australia Fund,Administered expenses,Special accounts,Health and Hospitals Fund Special Account,425059,513105.5032,640133.4711,621840.3347,800564.0335,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.",Program 1.3: Nation Building Funds and DisabilityCare Australia Fund,Administered expenses,Special accounts,DisabilityCare Australia Fund Special Account 4,4536764,4767398.979,3754597.876,4038801.619,4093759.257,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Grants in Aid - Animals Australia,334739,320481.5065,385434.6115,391101.6403,475674.9128,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Grants in Aid - Australian Institute of Policy and Science,118481,87607.77833,106045.762,98113.50068,111728.0061,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Grants in Aid - Chifley Research Centre,205694,257015.2292,271282.1106,306206.1806,228684.9325,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Grants in Aid - Green Institute,436902,495138.3069,531148.1222,460693.5687,451478.4567,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Grants in Aid - Menzies Research Centre,121456,142131.3719,182778.1624,139494.656,106500.0418,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Grants in Aid - Page Research Centre,346643,253613.1134,273679.1883,305027.3314,335004.8929,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Grants in Aid - Royal Humane Society of Australasia,63387,74385.12279,80200.52307,68978.42597,79319.88533,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Grants in Aid - RSPCA Australia Inc,14505,17793.38844,23074.11384,17758.19241,19069.81607,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Departmental expenses,Departmental appropriation,Government Business Enterprises Ownerships and Divestment,370753,301757.3708,317086.5903,350601.3593,303007.178,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Departmental expenses,Departmental appropriation,Special Financial Claims,492589,593436.7483,599715.12,619784.6313,514824.7019,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Departmental expenses,Departmental appropriation,Australian Government Information Management Office,445682,336822.2597,394709.3321,460207.1865,334453.3083,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Departmental expenses,Special accounts,Business Services Special Account,219109,262694.6345,249644.4424,248609.6059,217686.0582,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.1: Australian Government Business and ICT,Departmental expenses,Expenses not requiring appropriation in the Budget year,,217789,261914.2722,248867.6849,200002.4722,240146.4261,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.2: Property and Construction,Departmental expenses,Property Special Account,,2932168,3250702.236,3985971.114,3161925.34,2300870.611,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 2: Effective Government policy advice, administration and operations through: oversight of Government Business Enterprises; Commonwealth property management and construction; risk management; and providing ICT services.",Program 2.3: Insurance and Risk Management,Departmental expenses,Comcover Special Account,,11236,13057.21488,10154.49577,7969.394557,6070.31792,Department of Finance and Deregulation PBS,Table 2.1.2,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Electorate and ministerial support costs,28588,20900.43637,24187.18,28776.78478,33466.72062,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Political exchange program,364683,308676.3471,314050.0403,309653.5046,256971.0262,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Administered expenses,Special appropriations,Commonwealth of Australia Constitution Act (s.66),75930,84853.13767,90635.53089,90013.5281,93790.58323,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Administered expenses,Special appropriations,Members of Parliament (Life Gold Pass) Act 2002,323742,268437.1111,314840.1881,373131.8632,289653.8944,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Administered expenses,Special appropriations,Parliamentary Entitlements Act 1990,388568,490763.3499,501361.5415,635407.2182,804946.3006,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Administered expenses,Expenses not requiring appropriation in the Budget year,,356671,271430.6057,296067.0187,313932.0102,379823.0327,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Departmental expenses,Departmental appropriation,"Services to Senators, Members and their staff",3096405,2598389.552,3099734.56,3377217.534,3413462.959,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Departmental expenses,Departmental appropriation,Car-with-driver and associated transport services,150260,158067.3249,153669.5016,154076.4771,161761.2872,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 3: Support for Parliamentarians, others with entitlements and organisations as approved by Government through the delivery of entitlements and targeted assistance.",Program 3.1: Ministerial and Parliamentary Services,Departmental expenses,Expenses not requiring appropriation in the Budget year,,408420,461616.6741,463476.7771,548360.8213,612369.8731,Department of Finance and Deregulation PBS,Table 2.1.3,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,"Program 1.1: Prevention, early detection and service improvement ",Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,372256,343640.3979,371310.0659,344212.2134,290471.1338,Department of Health and Ageing PBS,Table 1.2,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,"Program 1.1: Prevention, early detection and service improvement ",Departmental expenses,Departmental appropriation & Expenses not requiring appropriation in the budget year,Program Support,50199,52200.89403,42619.81514,47420.94574,42959.48276,Department of Health and Ageing PBS,Table 1.2,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.2: Communicable disease control,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,3094806,3194038.463,3345291.163,2988177.19,2787039.261,Department of Health and Ageing PBS,Table 1.3,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.2: Communicable disease control,Departmental expenses,Departmental appropriation & Expenses not requiring appropriation in the budget year,Program Support,233253,183303.1181,216767.1533,246632.6585,179767.4067,Department of Health and Ageing PBS,Table 1.3,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.3: Drug strategy,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,59895,48330.83949,39010.89055,28565.45503,29727.60666,Department of Health and Ageing PBS,Table 1.4,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.3: Drug strategy,Departmental expenses,Departmental appropriation & Expenses not requiring appropriation in the budget year,Program Support,255043,203781.1669,240362.0563,262082.8453,223184.6373,Department of Health and Ageing PBS,Table 1.4,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.4: Regulatory policy,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,1601957,1574710.747,1277911.185,1460896.59,1573839.621,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.4: Regulatory policy,Departmental expenses,Departmental appropriation & Expenses not requiring appropriation in the budget year,Program Support,290204,288624.867,214087.832,199335.7519,171841.9664,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.4: Regulatory policy,Departmental expenses,Special accounts,OGTR Special Account,2877326,2547432.202,3272333.715,4000387.803,2983035.23,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.4: Regulatory policy,Departmental expenses,Special accounts,NICNAS Special Account,436342,337766.9127,287559.9807,367088.0112,309062.658,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.4: Regulatory policy,Departmental expenses,Special accounts,TGA Special Account,129509,117432.8054,92262.93684,104313.8084,124745.6706,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.4: Regulatory policy,Departmental expenses,Special accounts,Expense adjustment,458324,426033.2195,417301.6028,482486.1642,505989.8228,Department of Health and Ageing PBS,Table 1.5,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.5: Immunisation,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,1870475,1466962.879,1040648.305,1183197.526,1475410.695,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.5: Immunisation,Administered expenses,to Australian Childhood Immunisation Register Special Account,,437981,371488.2969,472062.5578,564956.3359,490482.3082,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.5: Immunisation,Administered expenses,Special appropriations,National Health Act 1953 - essential vaccines,342697,254382.5453,209556.1488,270120.0122,190101.9413,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.5: Immunisation,Administered expenses,Special accounts,Australian Childhood Immunisation Register Special Account,4721098,4512789.96,3404470.269,2588903.185,2652329.507,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.5: Immunisation,Departmental expenses,Departmental appropriation & Expenses not requiring appropriation in the budget year,Program Support,307078,335102.1279,248495.5661,199740.8938,241877.9164,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.6: Public health,Administered expenses,Ordinary annual services (Appropriation Bill No. 1),,268964,326165.4022,407640.0984,459001.3865,550925.5807,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.6: Public health,Administered expenses,Other services (Appropriation Bill No. 2),,306401,270654.6618,285097.5247,259352.4127,318557.734,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Health and Ageing Portfolio,Department of Health and Ageing,Outcome 1: Population Health,Program 1.6: Public health,Departmental expenses,Departmental appropriation & Expenses not requiring appropriation in the budget year,Program Support,214795,196464.9697,218371.2473,225171.6827,221966.9692,Department of Health and Ageing PBS,Table 1.6,https://www.health.gov.au/internet/budget/publishing.nsf/Content/2013-2014_Health_PBS_sup1/$File/2013-14_DoHA_PBS_2.01_Outcome_1.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.","Program 1.1: Budget, Financial Management, Better Regulation and Procurement Framework",Departmental expenses,Departmental appropriation,Budget Advice,479100,352121.3788,380462.3797,396560.2268,408423.6231,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.","Program 1.1: Budget, Financial Management, Better Regulation and Procurement Framework",Departmental expenses,Departmental appropriation,Financial Reporting,50189,51492.47441,48411.50512,44112.46417,40513.68878,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.","Program 1.1: Budget, Financial Management, Better Regulation and Procurement Framework",Departmental expenses,Departmental appropriation,Financial Framework,480357,485666.1968,582442.6419,645416.4435,696240.7246,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.","Program 1.1: Budget, Financial Management, Better Regulation and Procurement Framework",Departmental expenses,Departmental appropriation,Deregulation and Regulatory Reform,130309,157789.3064,157696.1376,118435.8712,101040.3717,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.","Program 1.1: Budget, Financial Management, Better Regulation and Procurement Framework",Departmental expenses,Departmental appropriation,Procurement Framework,109342,123700.5527,98029.71959,79167.97042,75615.13855,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.","Program 1.1: Budget, Financial Management, Better Regulation and Procurement Framework",Departmental expenses,Special accounts,Coordinated Procurement Contracting Special Account,34869,25903.41927,31574.10246,39403.0247,41671.31394,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.","Program 1.1: Budget, Financial Management, Better Regulation and Procurement Framework",Departmental expenses,Expenses not requiring appropriation in the Budget year,,354300,362137.1483,340380.3072,404309.4166,525163.9346,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.",Program 1.2: Public Sector Superannuation,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Act of Grace nominal interest,561913,655424.0635,569368.5794,679091.2062,636062.3144,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.",Program 1.2: Public Sector Superannuation,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Compensation and legal expenses,3405865,3212557.586,4034929.1,4098093.647,5109190.785,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.",Program 1.2: Public Sector Superannuation,Administered expenses,Ordinary annual services (Appropriation Bill (No.1)),Superannuation administration costs,108170,81035.91811,102310.9729,122156.7995,155361.4018,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
Finance and Deregulation Portfolio,Department of Finance and Deregulation,"Outcome 1: Informed decisions on Government finances and regulatory practices through: policy advice; implementing frameworks; and providing financial advice, guidance and assurance.",Program 1.2: Public Sector Superannuation,Administered expenses,Special Appropriations,Federal Circuit Court of Australia Act 1999,225218,158232.2761,158754.4704,114987.3172,127057.1645,Department of Finance and Deregulation PBS,Table 2.1.1,http://www.finance.gov.au/publications/portfolio-budget-statements/13-14/docs/department-of-finance-and-deregulation.pdf
